PBW Source ID,Source canonical name,PBW editor,Source edition used,Edition URL,Page range,Editor name,Editor VIAF,Author(ity),Evidence of authorship,External authorship authority,External authorship source,External authorship URL
"Gregory VII, in Caspar VIII, 1","Gregory VII to Gregory, Archbishop of Armenia",jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1933",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444772,,,
"Gregory VII, in Caspar VIII, 1a",Robert Guiscard's Loyalty Oath to Gregory VII,jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1934",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444773,,,
"Gregory VII, in Caspar VIII, 1b",Robert Guiscard's Investiture by Gregory VII,jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1935",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444774,,,
"Gregory VII, in Caspar VIII, 6",Gregory VII's Call to the Southern Italian Bishops for the Support of Emperor Michael VII,jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1936",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444775,,,
"Gregory VII, in Caspar IX, 17",Gregory VII to Robert Guiscard,jr,"Das Register Gregors VII, in Monumenta Germaniae historica. Epistolae selectae, 2 vols., Berlin 1920-1937",https://archive.org/details/dasregistergrego00cath,,"Caspar, Erich Ludwig Eduard",10598157,Gregorios 27,factoid 444776,,,
Hilandar,Act of Paul protos,tp,"Actes de Chilandar I. Des origines à 1319, Archives de l’Athos XX, Paris 1998, 98-99",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2020-Actes%20de%20Chilandar-tom%201%2C%20eds.%20M.%20%C5%BDivojinovi%C4%87%2C%20V.%20Kravari%2C%20C.%20Giros%2C%20Paris%201998,,"Živojinović, Mirjana; Kravari, Vassiliki; Giros, Christophe",14898912; 31154757; 24760554,Paulos 105; Nikephoros 170,factoid 375616,,,
"Humbert, Commemoratio","Humbert, Commemoratio",ju,"Acta et scripta quae de controversiis ecclesiae graecae et latinae saeculo undecimo composita extant, Leipzig and Marburg 1861, pp. 150-52","https://www.digitale-sammlungen.de/en/view/bsb10800693?page=,1",,"Will, Cornelius",29618378,Humbert 101,,,,
"Humbert, Excommunication","Humbert, Excommunication",ju,"Acta et scripta quae de controversiis ecclesiae graecae et latinae saeculo undecimo composita extant, Leipzig and Marburg 1861, pp. 153-54","https://www.digitale-sammlungen.de/en/view/bsb10800693?page=,1",,"Will, Cornelius",29618378,Humbert 101,factoid 435209,,,
Hypomnema on marriage,Hypomnema on marriage,mj,"“Vier eherechtliche Entscheidungen aus dem 11. Jahrhundert”, Fontes Minores 3 (1979) 221-279",,,"Schminck, Andreas",62165959,Eustathios 61,,,,
Ibn Shaddad,Al-a'laq al-khatira fi dhikr umara' al-Sham wa'l-Jazira,bs; hm,"La description de la Syrie du Nord de ‘Izz al-Din Ibn Saddad” (Ibn Shaddad, al-A’laq al-khatira fi dhikr umara’ al-Sham wa-l-Jazira, al-juz’ al-awwal, al-qism al-thani), Bulletin d’études orientales 32-33 (1980-81), 265-402",https://books.openedition.org/ifpo/4946,,"Eddé, Anne-Marie",17250992,Ibn Shaddad,Introduction,Anne-Marie Eddé-Terrasse ,"La description de la Syrie du Nord de ‘Izz al-Din Ibn Saddad” (Ibn Shaddad, al-A’laq al-khatira fi dhikr umara’ al-Sham wa-l-Jazira, al-juz’ al-awwal, al-qism al-thani), Bulletin d’études orientales 32-33 (1980-81), 265-402",https://books.openedition.org/ifpo/4946
