PBW Source ID,Source canonical name,PBW editor,Source edition used,Edition URL,Page range,Editor name,Editor VIAF,Author(ity),Evidence of authorship,External authorship authority,External authorship source,External authorship URL
"Psellos, Monodies (Gautier) 107-112",Monodies (Gautier) 2,mj,"“Monodies inédites de Michel Psellos”, Revue des Études Byzantines 36 (1978) 83-151",https://www.persee.fr/doc/rebyz_0766-5598_1978_num_36_1_2082,107-112,"Gautier, Paul",231073465,Michael 61,factoid 380596,,,
"Psellos, Monodies (Gautier) 115-126",Monodies (Gautier) 3,mj,"“Monodies inédites de Michel Psellos”, Revue des Études Byzantines 36 (1978) 83-151",https://www.persee.fr/doc/rebyz_0766-5598_1978_num_36_1_2082,115-126,"Gautier, Paul",231073465,Michael 61,factoid 380597,,,
"Psellos, Monodies (Gautier) 128-132",Monodies (Gautier) 4,mj,"“Monodies inédites de Michel Psellos”, Revue des Études Byzantines 36 (1978) 83-151",https://www.persee.fr/doc/rebyz_0766-5598_1978_num_36_1_2082,128-132,"Gautier, Paul",231073465,Michael 61,factoid 380598,,,
"Psellos, Monodies (Gautier) 135-143",Monodies (Gautier) 5,mj,"“Monodies inédites de Michel Psellos”, Revue des Études Byzantines 36 (1978) 83-151",https://www.persee.fr/doc/rebyz_0766-5598_1978_num_36_1_2082,135-143,"Gautier, Paul",231073465,Michael 61,factoid 380599,,,
"Psellos, Monodies (Gautier) 145-151",Monodies (Gautier) 6,mj,"“Monodies inédites de Michel Psellos”, Revue des Études Byzantines 36 (1978) 83-151",https://www.persee.fr/doc/rebyz_0766-5598_1978_num_36_1_2082,145-151,"Gautier, Paul",231073465,Michael 61,factoid 380600,,,
"Psellos, Mother",Mother,mj,"Ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Μεσαιωνικὴ Βιβλιοθήκη Ε´, Paris 1876, 3-61",https://anemi.lib.uoc.gr/metadata/9/b/0/metadata-181-0000011.tkl,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380100,,,
"Psellos, Nikolaos of Horaia Pege",Nikolaos of Horaia Pege,mj,"“Eloge funèbre de Nicolas de la Belle Source”, Βυζαντινά 6 (1974) 11-69",,,"Gautier, Paul",231073465,Michael 61,factoid 380605,,,
"Psellos, Niketas Maïstor",Niketas Maïstor,mj,"""Ἐπιτάφιος εἰς Νικήταν μαΐστορα τῆς σχολῆς τοῦ ἁγίου Πέτρου"", Μιχαὴλ Ψελλοῦ Ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Μεσαιωνικὴ Βιβλιοθήκη Ε´, Paris 1876, 87-96",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 378392,,,
"Psellos, Orationes panegyricae I",Orationes panegyricae I,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380058,,,
"Psellos, Orationes panegyricae II",Orationes panegyricae II,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380059,,,
"Psellos, Orationes panegyricae III",Orationes panegyricae III,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380061,,,
"Psellos, Orationes panegyricae IV",Orationes panegyricae IV,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380062,,,
"Psellos, Orationes panegyricae V",Orationes panegyricae V,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380066,,,
"Psellos, Orationes panegyricae VI",Orationes panegyricae VI,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380067,,,
"Psellos, Orationes panegyricae VII",Orationes panegyricae VII,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380068,,,
"Psellos, Orationes panegyricae VIII",Orationes panegyricae VIII,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380069,,,
"Psellos, Orationes panegyricae IX",Orationes panegyricae IX,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380070,,,
"Psellos, Orationes panegyricae X",Orationes panegyricae X,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380071,,,
"Psellos, Orationes panegyricae XI",Orationes panegyricae XI,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380072,,,
"Psellos, Orationes panegyricae XII",Orationes panegyricae XII,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380073,,,
"Psellos, Orationes panegyricae XIII",Orationes panegyricae XIII,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380074,,,
"Psellos, Orationes panegyricae XIV",Orationes panegyricae XIV,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380075,,,
"Psellos, Orationes panegyricae XV",Orationes panegyricae XV,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380076,,,
"Psellos, Orationes panegyricae XVI",Orationes panegyricae XVI,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380077,,,
"Psellos, Orationes panegyricae XVII",Orationes panegyricae XVII,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380078,,,
"Psellos, Orationes panegyricae XVIII",Orationes panegyricae XVIII,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380080,,,
"Psellos, Orationes panegyricae XIX",Orationes panegyricae XIX,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380081,,,
"Psellos, Orationes panegyricae XX",Orationes panegyricae XX,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380082,,,
"Psellos, Orationes panegyricae XXI",Orationes panegyricae XXI,mj,"Orationes panegyricae, ed. G.T. Dennis, Stuttgart – Leipzig 1994",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951035/html,,"Dennis, George T.",17240388,Michael 61,factoid 380083,,,
"Psellos, Oratoria minora 1","Σελέντιον ἐκφωνηθὲν ἐπὶ τῶν ἡμερῶν τῆς βασιλίσσης 
 κυρᾶς Θεοδώρας",tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 1-4",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,1-3,"Littlewood, Antony R.",76422805,Michael 61,factoid 230944,,,
"Psellos, Oratoria minora 2",Σελέντιον ὡς ἀπὸ τοῦ βασιλέως τοῦ Διογένους,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 4-6",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,4-6,"Littlewood, Antony R.",76422805,Michael 61,factoid 230945,,,
"Psellos, Oratoria minora 3",Σελέντιον δημηγορηθὲν παρὰ βασιλέως κῦρ Μιχαὴλ τοῦ Δούκα,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 7-10",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,7-9,"Littlewood, Antony R.",76422805,Michael 61,factoid 230946,,,
"Psellos, Oratoria minora 4",Λόγος τοῦ ὑπερτίμου ὃς ἐπικέκληται σελέντιος,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 10-16",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,10-15,"Littlewood, Antony R.",76422805,Michael 61,factoid 230947,,,
"Psellos, Oratoria minora 5","Ἐπαναγνωστικὸν ὡς ἀπὸ τοῦ αὐτοκράτορος τοῦ Δούκα 
 κῦρ Κωνσταντίνου",tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 16-18",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,16-18,"Littlewood, Antony R.",76422805,Michael 61,factoid 230948,,,
"Psellos, Oratoria minora 6","Πρὸς τοὺς οἰομένους τὸν φιλόσοφον ἐρᾶν τῆς τῶν πραγμάτων 
 ἀντιλήψεως, ἅμα δὲ καὶ διὰ τοῦτο βασκαίνοντας αὐτῷ",tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 19-21",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,19-21,"Littlewood, Antony R.",76422805,Michael 61,factoid 230949,,,
"Psellos, Oratoria minora 7",Πρὸς τὸν λοίδορον ῥίψαντα χάρτην,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 21-29",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,21-28,"Littlewood, Antony R.",76422805,Michael 61,factoid 230950,,,
"Psellos, Oratoria minora 8",Ὅτε παρῃτήσατο τὴν τοῦ πρωτοασηκρῆτις ἀξίαν,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 29-37",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,29-37,"Littlewood, Antony R.",76422805,Michael 61,factoid 230951,,,
"Psellos, Oratoria minora 9",Πρὸς τοὺς βασκήναντας αὐτῷ τῆς τοῦ ὑπερτίμου τιμῆς,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 37-40",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,37-40,"Littlewood, Antony R.",76422805,Michael 61,factoid 230952,,,
"Psellos, Oratoria minora 10",Πρὸς τοὺς βασκαίνοντας αὐτῷ,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 40-43",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,40-43,"Littlewood, Antony R.",76422805,Michael 61,factoid 230953,,,
"Psellos, Oratoria minora 11",[De servitute a secretis],tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 44-46",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,44-46,"Littlewood, Antony R.",76422805,Michael 61,factoid 230954,,,
"Psellos, Oratoria minora 12",[De invidia et aemulatione a secretis],tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 47-48",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,"47,48.33-51","Littlewood, Antony R.",76422805,Michael 61,factoid 230955,,,
"Psellos, Oratoria minora 13",Πρός τινα κάπηλον μεγάλαυχον καὶ φιλοσοφοῦντα διάκενα,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 48-51",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,"48.1-5,49-51","Littlewood, Antony R.",76422805,Michael 61,factoid 230956,,,
"Psellos, Oratoria minora 14",Εἴς τινα κάπηλον γενόμενον νομικόν,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 52-57",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,52-56,"Littlewood, Antony R.",76422805,Michael 61,factoid 230957,,,
"Psellos, Oratoria minora 15","Πρὸς αὐτὸν (sc. Πόθον τὸν βεστάρχην) 
 ἐρωτήσαντα ποῖος ἐγκωμίων κρείττων",tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 57-58",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,57-58,"Littlewood, Antony R.",76422805,Michael 61,factoid 230958,,,
"Psellos, Oratoria minora 16",Πρὸς τὸν ἑαυτοῦ παπᾶν,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 59-62",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,59-61,"Littlewood, Antony R.",76422805,Michael 61,factoid 230959,,,
"Psellos, Oratoria minora 17",Πρὸς τὸν οἰκεῖον γραμματικόν,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 62-65",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,62-64,"Littlewood, Antony R.",76422805,Michael 61,factoid 230960,,,
"Psellos, Oratoria minora 18","Εἰς τὸν Λογγίβαρδον Ἰωάννην καταναγκάζοντα 
 αὐτὸν εἰς τὸ ἑρμηνεῦσαι τάχιον τὰ μαθήματα",tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 65-69",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,65-68,"Littlewood, Antony R.",76422805,Michael 61,factoid 230961,,,
"Psellos, Oratoria minora 19",Ἔπαινος τοῦ Ἰταλοῦ,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 69-72",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,69-72,"Littlewood, Antony R.",76422805,Michael 61,factoid 230962,,,
"Psellos, Oratoria minora 20","Εἰς δύο τινὰς τῶν μαθητῶν αὐτοῦ λογογραφήσαντας 
 πρὸς ἀλλήλους",tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 73-76",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,73-75,"Littlewood, Antony R.",76422805,Michael 61,factoid 230963,,,
"Psellos, Oratoria minora 21","Ὅταν ἔβρεξε καὶ οὐκ ἀνῆλθον οἱ μαθηταὶ αὐτοῦ 
 εἰς τὴν σχολήν",tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 76-78",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,76-78,"Littlewood, Antony R.",76422805,Michael 61,factoid 230964,,,
"Psellos, Oratoria minora 22",Ἐμβραδυνάντων τῶν μαθητῶν τῇ τῆς σχολῆς ξυνελεύσει,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 79-82",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,79-81,"Littlewood, Antony R.",76422805,Michael 61,factoid 230965,,,
"Psellos, Oratoria minora 23","Πρὸς τοὺς μαθητὰς ἀπολειφθέντας τῆς ἑρμηνείας τοῦ 
 Περὶ ἑρμηνείας",tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 82-84",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,82-83,"Littlewood, Antony R.",76422805,Michael 61,factoid 230966,,,
"Psellos, Oratoria minora 24",Ὀνειδίζει τοὺς μαθητὰς ἀμελοῦντας,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 84-87",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,84-87,"Littlewood, Antony R.",76422805,Michael 61,factoid 230967,,,
"Psellos, Oratoria minora 25",[Ad discipulos de philosophia et rhetorica],tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 88-93",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,88-93,"Littlewood, Antony R.",76422805,Michael 61,factoid 230968,,,
"Psellos, Oratoria minora 26","Πρὸς τὸν μαθητὴν αὐτοῦ Σέργιον εἰπόντα μήποτε 
 δηχθῆναι ὑπὸ ψύλλης",tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 94-97",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,94-97,"Littlewood, Antony R.",76422805,Michael 61,factoid 230969,,,
"Psellos, Oratoria minora 27",Ἐγκώμιον εἰς τὴν ψύλλαν,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 98-101",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,98-101,"Littlewood, Antony R.",76422805,Michael 61,factoid 230970,,,
"Psellos, Oratoria minora 28",Ἐγκώμιον εἰς τὴν φθεῖρα,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 102-106",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,102-106,"Littlewood, Antony R.",76422805,Michael 61,factoid 230971,,,
"Psellos, Oratoria minora 29",Ἐγκώμιον εἰς τοὺς κόρεις,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 107-110",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,107-110,"Littlewood, Antony R.",76422805,Michael 61,factoid 230972,,,
"Psellos, Oratoria minora 30",Ἐγκώμιον εἰς τὸν οἶνον,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 111-116",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,111-116,"Littlewood, Antony R.",76422805,Michael 61,factoid 230973,,,
"Psellos, Oratoria minora 31",Περὶ φιλίας πρὸς τοὺς ἀνεψιοὺς τοῦ πατριάρχου κῦρ Μιχαήλ,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 117-126",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,117-126,"Littlewood, Antony R.",76422805,Michael 61,factoid 230974,,,
"Psellos, Oratoria minora 32",Πρὸς τὸν βασιλέα τὸν Δούκαν,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 126-127",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,126-127,"Littlewood, Antony R.",76422805,Michael 61,factoid 230975,,,
"Psellos, Oratoria minora 33",Ἔκφρασις ἢ ἀλληγορία,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 128-129",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,128-129,"Littlewood, Antony R.",76422805,Michael 61,factoid 230976,,,
"Psellos, Oratoria minora 34",Ἔκφρασις εἰς Ἔρωτα ἐγγεγλυμμένον λίθῳ,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 129-131",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,129-130,"Littlewood, Antony R.",76422805,Michael 61,factoid 230977,,,
"Psellos, Oratoria minora 35",Εἰς τὴν τῆς Ἁγίας Σοφίας σύμπτωσιν,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 131-134",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,131-133,"Littlewood, Antony R.",76422805,Michael 61,factoid 230978,,,
"Psellos, Oratoria minora 36",Τὰ πρὸς Ὄλυμπον,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 134-137",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,134-137,"Littlewood, Antony R.",76422805,Michael 61,factoid 230979,,,
"Psellos, Oratoria minora 37","Ἐγκώμιον εἰς τὸν μοναχὸν Ἰωάννην τὸν Κρουστουλᾶν ἀναγνόντα ἐν τῇ 
 Ἁγίᾳ Σορῷ",tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 138-151",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,138-151,"Littlewood, Antony R.",76422805,Michael 61,factoid 230980,,,
"Psellos, Oratoria minora 38",Εἰς τὸν αὐτοῦ ἔκγονον ἔτι νήπιον ὄντα,tp,"Oratoria minora, ed. A.R. Littlewood, Leipzig 1985, pp. 152-155",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110955095/html,152-155,"Littlewood, Antony R.",76422805,Michael 61,factoid 230981,,,
"Psellos, Philosophica minora I",Philosophica minora I,mj,"Philosophica minora, vol. I, edd. J.M. Duffy and D.J. O’Meara, Stuttgart – Leipzig 1992",https://web-s-ebscohost-com.uaccess.univie.ac.at/ehost/detail/detail?vid=0&sid=e9c90568-fb94-4277-b452-6fa49863df72%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#AN=628950&db=nlebk,,"Duffy, John M.; O'Meara, Dominic J.",79093704; 95155160,Michael 61,factoid 380609,,,
"Psellos, Poema 16",Poema 16,mj,"Poemata, rec. L.G. Westerink, Stuttgart – Leipzig 1992",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951066/html,,"Westerink, Leendert G.",17230972,Michael 61,factoid 380084,,,
"Psellos, Poema 17",Poema 17,mj,"Poemata, rec. L.G. Westerink, Stuttgart – Leipzig 1992",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951066/html,,"Westerink, Leendert G.",17230972,Michael 61,factoid 380085,,,
"Psellos, Poema 18",Poema 18,mj,"Poemata, rec. L.G. Westerink, Stuttgart – Leipzig 1992",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951066/html,,"Westerink, Leendert G.",17230972,Michael 61,factoid 380088,,,
"Psellos, Poema 19",Poema 19,mj,"Poemata, rec. L.G. Westerink, Stuttgart – Leipzig 1992",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951066/html,,"Westerink, Leendert G.",17230972,Michael 61,factoid 380089,,,
"Psellos, Poema 20",Poema 20,mj,"Poemata, rec. L.G. Westerink, Stuttgart – Leipzig 1992",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951066/html,,"Westerink, Leendert G.",17230972,Michael 61,factoid 380090,,,
"Psellos, Poema 21",Poema 21,mj,"Poemata, rec. L.G. Westerink, Stuttgart – Leipzig 1992",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951066/html,,"Westerink, Leendert G.",17230972,Michael 61,factoid 380092,,,
"Psellos, Poema 1-4",Poema 1-4,mj,"Poemata, rec. L.G. Westerink, Stuttgart – Leipzig 1992",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951066/html,,"Westerink, Leendert G.",17230972,Michael 61,factoid 380093,,,
"Psellos, Poema 8",Poema 8,mj,"Poemata, rec. L.G. Westerink, Stuttgart – Leipzig 1992",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951066/html,,"Westerink, Leendert G.",17230972,Michael 61,factoid 380094,,,
"Psellos, Poema 2",Poema 2,mj,"Poemata, rec. L.G. Westerink, Stuttgart – Leipzig 1992",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951066/html,,"Westerink, Leendert G.",17230972,Michael 61,factoid 380095,,,
"Psellos, Poema 22",Poema 22,mj,"Poemata, rec. L.G. Westerink, Stuttgart – Leipzig 1992",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951066/html,,"Westerink, Leendert G.",17230972,Michael 61,factoid 380096,,,
"Psellos, Poema 28",Poema 28,mj,"Poemata, rec. L.G. Westerink, Stuttgart – Leipzig 1992",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951066/html,,"Westerink, Leendert G.",17230972,Michael 61,factoid 380097,,,
"Psellos, Robert",Robert,mj,"Orationes forenses et acta, ed. G.T. Dennis, Stuttgart and Leipzig 1994, 169-175",https://www-degruyter-com.uaccess.univie.ac.at/document/doi/10.1515/9783110951028/html,,"Dennis, George T.",17240388,Michael 61,factoid 380056,,,
"Psellos, Styliane",Styliane,mj,"Ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Μεσαιωνικὴ Βιβλιοθήκη Ε´, Paris 1876, 62-87",https://anemi.lib.uoc.gr/metadata/9/b/0/metadata-181-0000011.tkl,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380104,,,
"Psellos, Xiphilinos",Funeral oration for Xiphilinos,mj,"Μιχαὴλ Ψελλοῦ Ἐπιτάφιοι λόγοι εἰς τοὺς πατριάρχας Μιχαὴλ Κηρουλλάριον, Κωνσταντῖνον Λειχούδην καὶ Ίωάννην Ξιφιλῖνον, Μεσαιωνικὴ Βιβλιοθήκη Δ´, Paris 1874",https://anemi.lib.uoc.gr/metadata/9/b/0/metadata-181-0000011.tkl?dtab=m&search_type=simple&search_help=&display_mode=overview&wf_step=init&show_hidden=0&number=10&keep_number=&cclterm1=&cclterm2=&cclterm3=&cclterm4=&cclterm5=&cclterm6=&cclterm7=&cclterm8=&cclfield1=&cclfield2=&cclfield3=&cclfield4=&cclfield5=&cclfield6=&cclfield7=&cclfield8=&cclop1=&cclop2=&cclop3=&cclop4=&cclop5=&cclop6=&cclop7=&isp=&search_coll%5Bmetadata%5D=1&&stored_cclquery=&skin=&rss=0&lang=el&ioffset=1&offset=1,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380026,,,
Psellos Gautier 1,Gautier 1,mj,"“Quelques lettres de Psellos inédites ou déjà éditées”, Revue des Études Byzantines 44 (1986) 111-197",https://www.persee.fr/doc/rebyz_0766-5598_1986_num_44_1_2187,,"Gautier, Paul",231073465,Michael 61,factoid 380557,,,
