passage_uri,real_sourcekey
https://r11.eu/rdf/resource/7b677a93-cbff-4b9e-9c21-ef0fde638595,"Theophylaktos of Ohrid, Letters 49"
https://r11.eu/rdf/resource/88f2cc9a-373d-4759-a8f3-4c4bf8373a93,"Theophylaktos of Ohrid, Letters 57"
https://r11.eu/rdf/resource/b2dc4e3d-0e67-4316-b543-d9d5baa65c0f,"Theophylaktos of Ohrid, Letters 58"
https://r11.eu/rdf/resource/c1db91ed-203a-4cb8-9807-a363e0fa577e,"Theophylaktos of Ohrid, Letters 58"
https://r11.eu/rdf/resource/fc470bfe-2396-479c-baee-b46d81b9adc2,"Theophylaktos of Ohrid, Letters 60"
https://r11.eu/rdf/resource/9406dc3e-ab39-4362-baae-783cea5ef37e,"Theophylaktos of Ohrid, Letters 59"
https://r11.eu/rdf/resource/55edef9d-c069-4c07-8b73-0272e4258778,"Theophylaktos of Ohrid, Letters 59"
https://r11.eu/rdf/resource/d30bea47-353f-4b06-9caa-9fe859d23b06,"Theophylaktos of Ohrid, Letters 59"
https://r11.eu/rdf/resource/d584680f-7bbc-4579-b0ca-aa56eb659ab4,"Theophylaktos of Ohrid, Letters 59"
https://r11.eu/rdf/resource/9af06640-0142-4162-ba57-33cc8c983add,"Theophylaktos of Ohrid, Letters 58"
https://r11.eu/rdf/resource/21d6c4e7-91aa-4d14-b09f-b27596c39258,"Theophylaktos of Ohrid, Letters 66"
https://r11.eu/rdf/resource/d2699cb3-38ac-4643-80f2-797c748e1940,"Theophylaktos of Ohrid, Letters 66"
https://r11.eu/rdf/resource/21ad13c4-394e-4706-a0bb-0ad89456b8f6,"Theophylaktos of Ohrid, Letters 66"
https://r11.eu/rdf/resource/79a076fc-111a-4c4d-8a97-71d77aef8ff0,"Theophylaktos of Ohrid, Letters 66"
https://r11.eu/rdf/resource/cc1400ca-dc20-4a71-b54a-feddd2425d2e,"Theophylaktos of Ohrid, Letters 77"
https://r11.eu/rdf/resource/193a47e3-e65a-49c8-b5ae-6953b50c575d,"Theophylaktos of Ohrid, Letters 77"
https://r11.eu/rdf/resource/04460d81-2e87-4198-89a3-d9b3d4bc849c,"Theophylaktos of Ohrid, Letters 77"
https://r11.eu/rdf/resource/42d3243e-c154-4af1-a5a8-7b63f3c47d1e,"Theophylaktos of Ohrid, Letters 87"
https://r11.eu/rdf/resource/761a4475-d172-440f-ba56-2ef3ec45cac7,"Theophylaktos of Ohrid, Letters 87"
https://r11.eu/rdf/resource/086900b8-cd00-48cb-9e6e-86dc0a8b01e6,"Theophylaktos of Ohrid, Letters 132"
https://r11.eu/rdf/resource/f3b002af-624b-4ef8-93e7-cc1f22ff1559,Lavra 29
https://r11.eu/rdf/resource/a5300a90-57ba-4beb-87d4-e23cdfe6d06d,Lavra 29
https://r11.eu/rdf/resource/d2b9cabb-7df9-467e-b576-de33c13c91de,Esphigmenou 3
https://r11.eu/rdf/resource/38e784c7-3a33-4fbb-9adf-f803c855f753,Esphigmenou 3
https://r11.eu/rdf/resource/d3eeef30-52d1-41ed-8d33-2fcfdeabf9c3,Panteleemon 4
https://r11.eu/rdf/resource/1711f2fe-c465-4267-b932-d0bfa0a61ac3,Panteleemon 4
https://r11.eu/rdf/resource/1e18920e-45bd-49b8-b91e-0815690e442c,Panteleemon 4
https://r11.eu/rdf/resource/8ae6db29-66c0-4c5c-b8ae-812219117214,"Theophylaktos of Ohrid, Letters 28"
https://r11.eu/rdf/resource/16a290aa-26a0-46ae-9171-5c9a6e64a8ff,"Theophylaktos of Ohrid, Letters 21"
https://r11.eu/rdf/resource/4cb2fade-154b-4ce1-8f3d-4fcbae9b755e,Lavra 35
https://r11.eu/rdf/resource/27c2b9de-9ce9-4bbb-a03f-1f0cc0f4c398,Kleinchroniken 14
https://r11.eu/rdf/resource/38b8c5e4-870c-4740-980b-f88d99073fb7,Kleinchroniken 14
https://r11.eu/rdf/resource/e2a01b6f-9f7d-41a2-9504-0c0501ec4f4a,Kleinchroniken 17
https://r11.eu/rdf/resource/b79af237-5f66-48c0-8236-e342e0d42349,Kleinchroniken 14
https://r11.eu/rdf/resource/8c4df865-ba8b-4f6d-a535-76e7af562712,Kleinchroniken 14
https://r11.eu/rdf/resource/ba0a3740-994d-479b-a399-49cb639b19bd,Kleinchroniken 14
https://r11.eu/rdf/resource/a6df3d5d-b4cd-4341-a491-852d4c08ef05,Kleinchroniken 14
https://r11.eu/rdf/resource/bea67a31-297b-4edb-afae-1fbb340ef9d4,"Theophylaktos of Ohrid, Letters 21"
https://r11.eu/rdf/resource/078f97fb-cb6f-4563-a9be-f92ea642d11d,Esphigmenou 3
https://r11.eu/rdf/resource/87e03f4a-d044-47f2-95af-f42432055e0e,Esphigmenou 3
https://r11.eu/rdf/resource/dde49a75-141d-444d-8782-64796a9743c9,Esphigmenou 3
https://r11.eu/rdf/resource/b6bd1a80-bc12-4283-9457-3a23d1bb2f8a,Lavra 29
https://r11.eu/rdf/resource/73db1406-024a-4d57-b1ac-e51e250f3660,Lavra 29
https://r11.eu/rdf/resource/d9b6c821-fa4a-430c-9052-002d0c3dbb26,Lavra 35
https://r11.eu/rdf/resource/410735d2-cad0-4f54-93a2-9bf15b7536d7,Lavra 35
https://r11.eu/rdf/resource/65ec177a-12e8-4222-bf87-aad9baa54851,"Theophylaktos of Ohrid, Letters 27"
https://r11.eu/rdf/resource/c3c87fbf-2d6c-4cf7-ab18-ba698f806027,"Theophylaktos of Ohrid, Letters 31"
